KeyName,ID,Label_KR,Detail_KR,Option1_KR,Option2_KR,Label_EN,Detail_EN,Option1_EN,Option2_EN,Label_JP,Detail_JP,Option1_JP,Option2_JP,Label_SC,Detail_SC,Option1_SC,Option2_SC,Label_TC,Detail_TC,Option1_TC,Option2_TC
,,,,,,,,,,,,,,,,,,,,,
,1,슬라임,자세히 보면 의외로 귀여운 슬라임입니다. \약하긴 하지만 성장가능성이 높은 몬스터입니다.,슬라임에게 현상금이 걸린다면?,길드 퀘스트를 확인 후 슬라임 헌터 처치,Slime,It's a surprisingly cute slime if you look closely. \It's weak- but it's a monster with high potential for growth.,What if a bounty is placed on the slime?,Defeat slime hunter after checking guild quest,スライム,よく見るとかわいらしいスライムです。弱いですが、成長の可能性が高いモンスターです。,スライムに懸賞金がかけられたら？,ギルドクエスト確認後にスライムハンター撃破,史莱姆,仔细看的话- 意外地可爱的史莱姆。虽然很弱- 但是具有高成长潜力的怪物。,如果史莱姆被悬赏的话？,确认公会任务后击败史莱姆猎人,史莱姆,仔細看的話- 意外地可愛的史莱姆。雖然很弱- 但是具有高成長潜力的怪物。,如果史萊姆被懸賞的話？,確認公會任務後擊敗史萊姆獵人
,2,어스골렘,던전에 마나를 융합해 창조해낸 골렘입니다. \튼튼하고 강해서 모험가들을 상대로 제격이에요. 하지만 조금 한계가 있을지도?,골렘이 충분히 강해진다면?,길드 퀘스트를 확인 후 도적 처치,EarthGolem,It's a golem created by fusing the Dungeon's mana. \It's sturdy and strong- perfect for facing adventurers. But it might have some limitations?,What if the golem becomes strong enough?,Defeat bandit after checking guild quest,アースゴーレム,ダンジョンにマナを融合させて創造されたゴーレムです。\頑丈で強いので、冒険者相手に適していますが、少し限界があるかもしれません。,ゴーレムが十分強くなったら？,ギルドクエスト確認後に盗賊撃破,土元素巨像,通过融合地下城的魔力创造出的巨像。坚固强大- 非常适合对付冒险者。不过可能有一些局限性？,如果魔像变得足够强大的话？,确认公会任务后击败盗贼,土元素巨像,通過融合地下城的魔力创造出的巨像。坚固強大- 非常適合對付冒險者。不過可能有一些局限性？,如果魔像變得足夠強大的話？,確認公會任務後擊敗盜賊
,3,머쉬보이,어둡고 습한곳을 좋아하는 버섯몬스터입니다. \높은 공격력을 지녔어요.,어두운 숲이 좋아.,레벨 25이상 \4층에 배치,MushBoy,It's a mushroom monster that loves dark and humid places. \It has high attack power.,I like dark forests.,Level 25 or higher \Deploy on 4th floor,マッシュボーイ,暗くて湿った場所を好むキノコモンスターです。\高い攻撃力を持っています。,暗い森が好き。,レベル25以上 \4階に配置,蘑菇小子,喜欢阴暗潮湿地方的蘑菇怪物。拥有很高的攻击力。,我喜欢黑暗的森林。,等级25以上 \部署在4层,蘑菇小子,喜歡陰暗潮湿地方的蘑菇怪物。擁有很高的攻擊力。,我喜歡黑暗的森林。,等級25以上 \部署在4層
,,,,,,,,,,,,,,,,,,,,,
,5,페어리,순수한 마나의 결정체인 요정 몬스터입니다. \여러방면에서 좋은 밸런스를 가지고 있고- 잠재력도 높은 편입니다.,친구는 많을수록 좋아.,서로 다른 유닛 5개체와 같은 층에서 생존,Fairy,It's a fairy monster- a pure crystallization of mana. \It has a good balance in many areas- and high potential.,The more friends - the better.,Survive on same floor with 5 different unit types,フェアリー,純粋なマナの結晶である妖精モンスターです。\様々な面でバランスが良く、潜在能力も高めです。,友達は多いほどいい。,異なるユニット5体と同じ階で生存,精灵,纯粹魔力结晶的精灵怪物。\在各方面都有良好的平衡- 潜力也相当高。,朋友越多越好。,与5个不同单位在同一楼层生存,精靈,纯粹魔力结晶的精靈怪物。\在各方面都有良好的平衡- 潜力也相當高。,朋友越多越好。,與5個不同單位在同一樓層生存
,6,살라만드라,원시적인 형태를 지닌 몬스터입니다. 불을 내뿜어 적을 공격합니다. \종족 특성으로 적을 위압하여 빨리 지치게 만들어요.,추운 곳이 좋아.,레벨 20이상 \지하 5층에 배치 후 생존,Salamandra,It's a monster with a primitive form. It breathes fire to attack enemies. \Its racial trait allows it to intimidate enemies and make them tire quickly.,I like cold places.,Level 20 or higher \Deploy on basement 5th floor and survive,サラマンダー,原始的な形態を持つモンスターです。火を吐いて敵を攻撃します。\種族特性で敵を威圧し、早く疲れさせます。,寒いところが好き。,レベル20以上 \地下5階に配置後生存,火蜥蜴,具有原始形态的怪物。能喷火攻击敌人。\种族特性可以威慑敌人- 使其快速疲劳。,我喜欢寒冷的地方。,等级20以上 \部署在地下5层后生存,火蜥蜴,具有原始形態的怪物。能喷火攻擊敌人。\種族特性可以威慑敌人- 使其快速疲劳。,我喜歡寒冷的地方。,等級20以上 \部署在地下5層後生存
,7,그레이하운드,친근감이 느껴지는 늑대형 몬스터입니다. \매우 용맹하고 재빠른 몸놀림을 지녔어요.,좋아하는 것을 구해주자.,레벨 20이상 \아티팩트 : 신비한 뼈,GreyHound,It's a friendly wolf^like monster. \It's very brave and agile.,Let's get what they like.,Level 20 or higher \Artifact: Mysterious Bone,グレイハウンド,親しみやすい狼型モンスターです。\非常に勇敢で素早い動きを持っています。,好きなものを手に入れてあげよう。,レベル20以上 \アーティファクト：神秘の骨,灰狼,看起来很亲切的狼型怪物。非常勇猛- 动作敏捷。,让我们给它们想要的东西吧。,等级20以上 \神器：神秘骨头,灰狼,看起來很親切的狼型怪物。非常勇猛- 动作敏捷。,讓我們給它們想要的東西吧。,等級20以上 \神器：神秘骨頭
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
